Y,X1,X2,X3
86895672,436,563,354
261439839,877,543,549
202938400,490,496,835
258846528,992,831,314
46474890,77,930,649
291663680,304,979,980
1895784,334,22,258
51356470,383,530,253
230520,339,20,34
249319620,823,540,561
29913790,551,89,610
116601100,190,770,797
361845120,560,872,741
539334,83,38,171
20430410,157,385,338
24315746,91,271,986
60592515,383,159,995
153846000,407,432,875
107935200,190,789,720
349880384,826,976,434
23319296,676,196,176
216439124,946,823,278
62722572,267,418,562
40425920,95,872,488
257147520,361,896,795
66148368,368,429,419
14103936,88,318,504
24266952,729,219,152
48457080,140,574,603
69888140,89,994,790
106842960,258,435,952
872421165,943,945,979
349107616,806,506,856
68004420,748,165,551
91578330,309,445,666
48918688,628,182,428
2243656,62,83,436
216725184,468,562,824
42266070,749,95,594
62699000,689,650,140
34074208,701,56,868
167388324,204,823,997
127438326,774,773,213
19110008,134,202,706
566237580,991,890,642
73854528,363,704,289
20285386,34,803,743
54372984,817,354,188
26073840,312,305,274
117312624,702,422,396
21729792,96,602,376
219797760,544,962,420
73225404,303,882,274
118933290,298,905,441
3439367,563,149,41
56626073,137,431,959
308427990,806,789,485
69752424,609,139,824
334972764,556,917,657
362501841,767,613,771
45927000,162,900,315
386201750,850,605,751
5147328,249,76,272
23885492,262,577,158
81459136,628,242,536
210319659,759,933,297
361491130,539,737,910
92399755,721,361,355
23892375,377,125,507
104880,40,69,38
25365276,548,111,417
142135006,587,871,278
5916890,181,467,70
381953728,806,944,502
373200660,655,684,833
1977696,109,378,48
203133420,315,756,853
202492,142,46,31
7636499,719,247,43
2974896,12,292,849
67259808,504,674,198
128776172,322,557,718
11994936,591,118,172
27587274,39,814,869
224755370,665,974,347
21093299,839,31,811
172181100,588,325,901
44449420,278,590,271
464275620,801,730,794
59457304,307,344,563
876603,169,19,273
199545600,950,384,547
2455110,210,27,433
10816652,203,308,173
189045220,964,455,431
3321960,38,155,564
64951200,582,240,465
17991936,548,228,144
64229960,107,698,860
6436885,329,215,91
17183488,892,224,86
211670739,567,609,613
540224,64,367,23
30116625,375,149,539
208656,252,46,18
31733016,542,714,82
8540624,248,257,134
402675,413,5,195
838211584,896,944,991
258377340,845,332,921
194999616,588,564,588
167833776,528,781,407
419623688,682,797,772
43389423,889,51,957
12527676,292,189,227
65463816,842,627,124
311776368,914,732,466
17820000,750,90,264
83364750,670,711,175
48861760,335,344,424
5070882,193,58,453
106818530,818,205,637
174336976,652,412,649
213484572,882,791,306
85565216,869,724,136
602530320,730,952,867
140533988,194,826,877
11053665,945,557,21
146312960,256,755,757
59680570,431,227,610
17020,74,5,46
28802352,141,751,272
14267616,916,59,264
757680,7,164,660
11531168,544,517,41
329313600,605,945,576
71942442,429,439,382
86045925,775,311,357
116069040,414,326,860
252776808,697,552,657
105958611,569,209,891
57487404,818,102,689
7037372,38,206,899
16021530,49,630,519
292824477,759,891,433
96222080,772,410,304
274799252,497,806,686
72561450,650,879,127
5575200,101,400,138
126879060,947,660,203
38270232,472,693,117
220870188,654,714,473
118570032,574,342,604
695448,13,743,72
8479107,27,833,377
23961432,209,281,408
5540400,45,720,171
126735336,609,667,312
69415848,666,367,284
31466736,589,477,112
474549840,927,790,648
28682808,264,187,581
5913640,815,8,907
535294266,809,998,663
46718100,108,605,715
10009656,813,114,108
171943200,501,400,858
81428736,458,384,463
19906740,980,111,183
2347884,77,198,154
3381284,103,58,566
153113400,836,450,407
52401006,126,657,633
10244192,532,664,29
113014960,505,568,394
44067876,262,578,291
41707575,195,291,735
7123680,291,160,153
64847775,281,905,255
27507645,911,55,549
87382400,560,332,470
6646640,830,143,56
135144492,879,476,323
7807338,786,473,21
54985314,206,579,461
39076461,227,617,279
794592,267,48,62
57904704,528,962,114
100666830,134,785,957
112135,205,1,547
218759684,949,572,403
99138050,782,275,461
48521000,200,605,401
20985030,369,110,517
16786224,504,793,42
150476070,673,290,771
306405762,417,958,767
281423570,695,586,691
401288400,765,790,664
157611321,749,681,309
15786188,253,821,76
455756238,607,826,909
35124312,57,782,788
24585000,125,298,660
20553000,500,663,62
202616,38,86,62
48244560,611,560,141
6626256,481,14,984
145685280,631,312,740
69583,467,1,149
593900604,682,958,909
34712050,190,599,305
3976560,168,526,45
433634985,843,805,639
19594498,602,121,269
134648624,592,899,253
57520980,605,114,834
2731725,355,405,19
5640192,256,204,108
88236000,300,817,360
465821355,785,669,887
36129834,481,107,702
81900423,387,583,363
206040,34,15,404
7520256,816,12,768
60977691,509,783,153
206818040,247,865,968
108661014,341,843,378
192867675,367,825,637
359737760,404,904,985
91076688,138,856,771
61266792,551,452,246
53402904,129,564,734
19037876,802,166,143
84728592,702,642,188
44575558,107,722,577
48013420,434,851,130
14642168,604,527,46
31781970,810,87,451
598500,190,21,150
37194624,48,778,996
124460294,457,686,397
320552610,483,665,998
308853873,747,893,463
282776076,506,786,711
7851420,10,954,823
317701440,630,927,544
14237800,100,514,277
20727140,46,785,574
22375920,95,336,701
138409920,748,771,240
689040,110,87,72
51682584,452,177,646
122787396,939,204,641
9492560,134,322,220
50386560,815,92,672
103396040,391,440,601
806520,517,39,40
215247500,740,325,895
89914968,198,852,533
209054175,781,415,645
128048256,711,192,938
4784640,40,178,672
119110859,667,263,679
155691648,898,576,301
1147965,29,195,203
228037520,976,563,415
127114560,920,152,909
16385904,38,678,636
23168685,265,151,579
47749236,166,382,753
678572840,968,785,893
55680108,209,298,894
338832000,520,724,900
5750640,12,815,588
356325678,901,519,762
12558494,478,43,611
29204745,895,219,149
12290290,590,563,37
30781322,338,187,487
1414500,230,82,75
9249779,131,77,917
10082952,87,439,264
223034225,635,995,353
162506250,270,625,963
63173292,996,533,119
5315849,77,527,131
363345792,744,524,932
15161328,712,234,91
7381176,383,44,438
57597456,222,287,904
